product_name,Original,discount,image,timestamp
COD,RM8.39,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM12.00,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM7.36,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM9.39,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Colour 1.5kg,RM11.70,8%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Jasmine Green Tea 2g x…,RM12.05,9%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Kotex Anti-Bacteria…,RM16.10,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Honey Yuzu 1.5L,RM7.10,6%,https://shopee.com.my/image_not_available.jpg,6/07/2025
3in1 Brown Sugar White…,RM15.69,15%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Strawberry Corn Flakes…,RM7.75,13%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Tropical Jumbo (700ml),RM13.99,26%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Macaroni 400g,RM3.40,14%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sandwich Biscuit - 𝗦𝗮𝗹𝘁𝗲𝗱…,RM9.90,16%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Gift Dried Raisins with…,RM5.39,18%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM18.75,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM7.56,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM22.72,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM18.40,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM23.16,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Ambi Pur Luxe Car Air…,RM16.51,33%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Berries Jumbo (700ml),RM13.99,26%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Kotex Natural Care Maxi…,RM16.10,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Toothpaste Cavity…,RM6.78,28%,https://shopee.com.my/image_not_available.jpg,6/07/2025
1 Latte 25g x 12s,RM13.00,27%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Premium Mixes Caff«…,RM12.90,2%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Caramelly Smooth…,RM11.34,14%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Goreng Asli Jumbo 139g …,RM6.29,15%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Krunch Cereal 450g (Halal),RM13.62,22%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Activ-Go HCL2.0 1.8kg…,RM36.75,20%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM3.40,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM119.90,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM16.00,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM15.69,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM2.89,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Goreng Asli 90g x 5 Pack…,RM5.73,12%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Pack Cereal 140g (Halal),RM9.23,7%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Classic Arabica&Robusta…,RM24.15,10%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Cappuccino 18g x 4s…,RM12.90,2%,https://shopee.com.my/image_not_available.jpg,6/07/2025
HUGGIES AirSoft Tape…,RM135.00,22%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Gentle Preemie Baby…,RM16.90,16%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Cleaner Lemongrass &…,RM12.15,30%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Pesto Alla Genovese Pas…,RM21.15,15%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Noodles Economy Pack…,RM6.87,13%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Calcium Boost Pluz UHT…,RM11.53,8%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM31.40,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM14.50,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM10.69,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM13.00,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM8.04,,https://shopee.com.my/image_not_available.jpg,6/07/2025
𝗦𝗵𝗼𝗿𝘁𝗯𝗿𝗲𝗮𝗱 Finger 150g,RM20.35,21%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Ambi Pur Fabric Refreshe…,RM18.40,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Yogi Chocolate with…,RM2.39,15%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Tea 400g,RM11.80,8%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Kitchen Dishwash Liquid…,RM11.11,32%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Powder Detergent 3.8kg,RM16.39,29%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Parfum Concentrated…,RM5.39,20%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Body Scrub - White Turni…,RM7.29,9%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Milk Chocolate 1L [Exp 1…,RM5.89,25%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Peony & Berry Bliss…,RM18.09,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM14.24,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM4.90,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM5.10,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM16.09,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM5.89,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Detergent Colour Protect…,RM20.29,42%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sawaday Fragrance Liqui…,RM8.69,3%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Krunch Cereal Bar 25g x…,RM49.65,17%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Bright Serum Twin Pack (…,RM25.40,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Butter 𝗖𝗵𝗼𝗰𝗼𝗹𝗮𝘁𝗲…,RM6.19,17%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Robusta Kopi O 16g x 15…,RM9.70,10%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Gold+ Super Jumbo Pack…,RM30.50,10%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Surface Cleaner Spray…,RM17.55,5%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Free Goodnes Dairy Free…,RM10.65,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
𝗛𝗶𝗺𝗮𝗹𝗮𝘆𝗮𝗻 𝗣𝗶𝗻𝗸 𝗥𝗼𝗰𝗸 𝗦𝗮𝗹…,RM2.29,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM6.19,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM10.36,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM29.95,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM13.39,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM21.62,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Hand Wash Skincare Refi…,RM12.55,7%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Milk Strawberry 1L [Exp 2…,RM6.29,20%,https://shopee.com.my/image_not_available.jpg,6/07/2025
White Exfoliating Mineral…,RM11.92,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Pasta Sauce 680g,RM13.05,13%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Aroma Therapy Shower…,RM7.67,15%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Action Cleaner Refill…,RM10.85,9%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Milk 189g,RM4.90,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Clip Car Air Freshener -…,RM11.00,31%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Cleaner Lavender &…,RM12.15,30%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Soft Hair Shampoo…,RM9.75,12%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM23.42,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM6.00,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM17.99,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM5.39,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM25.01,,https://shopee.com.my/image_not_available.jpg,6/07/2025
𝗜𝗻𝘀𝘁𝗮𝗻𝘁 𝟯𝗶𝗻𝟭 Premix Teh…,RM17.39,18%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Detergent Stain Buster…,RM20.29,42%,https://shopee.com.my/image_not_available.jpg,6/07/2025
2in1 Ice Choco Hazelnut…,RM8.90,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Chocolate Cup 53g,RM3.90,43%,https://shopee.com.my/image_not_available.jpg,6/07/2025
